esz_id,station_id,est_population,total_points,data_quality_flag,total_units,pct_hydrant_1000ft,pct_flood_ae,sfr_units,sfr_pct,sfr_grnd_sqft,sfr_avg_yrbl,sfr_hyd_pct,sfr_flood_pct,mobile_units,mobile_pct,mobile_grnd_sqft,mobile_avg_yrbl,mobile_hyd_pct,mobile_flood_pct,multifamily_units,multifamily_pct,multifamily_grnd_sqft,multifamily_avg_yrbl,multifamily_hyd_pct,multifamily_flood_pct,alf_units,alf_pct,alf_grnd_sqft,alf_avg_yrbl,alf_hyd_pct,alf_flood_pct,retail_units,retail_pct,retail_grnd_sqft,retail_avg_yrbl,retail_hyd_pct,retail_flood_pct,industrial_units,industrial_pct,industrial_grnd_sqft,industrial_avg_yrbl,industrial_hyd_pct,industrial_flood_pct,institutional_units,institutional_pct,institutional_grnd_sqft,institutional_avg_yrbl,institutional_hyd_pct,institutional_flood_pct,school_units,school_pct,school_grnd_sqft,school_avg_yrbl,school_hyd_pct,school_flood_pct,government_units,government_pct,government_grnd_sqft,government_avg_yrbl,government_hyd_pct,government_flood_pct,vacant_units,vacant_pct,vacant_grnd_sqft,vacant_avg_yrbl,vacant_hyd_pct,vacant_flood_pct
81-001-N,ST81,54,37,,37,0.0,100.0,24,64.9,84620,1998,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,2,5.4,0,,0.0,100.0,11,29.7,0,,0.0,100.0
81-002-N,ST81,111,58,,59,0.0,98.2,48,81.4,194118,2002,0.0,97.8,0,0.0,0,,,,2,3.4,5672,1999,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,9,15.3,0,,0.0,100.0
81-003-N,ST81,125,67,,72,0.0,91.7,48,66.7,154159,2001,0.0,87.8,0,0.0,0,,,,10,13.9,27783,1998,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,14,19.4,0,,0.0,100.0
81-004-N,ST81,34,195,,195,0.0,100.0,15,7.7,44964,2006,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,2,1.0,0,,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,178,91.3,0,,0.0,100.0
81-005-N,ST81,278,389,,390,0.0,89.5,122,31.3,299835,2009,0.0,84.5,0,0.0,0,,,,2,0.5,3681,1998,0.0,100.0,0,0.0,0,,,,1,0.3,0,,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,3,0.8,0,,0.0,100.0,262,67.2,0,,0.0,91.6
81-006-N,ST81,476,513,,519,3.1,62.2,206,39.7,535360,2009,0.0,67.2,0,0.0,0,,,,7,1.3,15442,1995,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,2,0.4,0,,0.0,100.0,304,58.6,0,,5.3,56.5
81-007-N,ST81,234,523,,523,4.8,99.8,104,19.9,250717,2012,6.7,100.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,419,80.1,0,,4.3,99.7
81-008-N,ST81,338,334,,334,59.0,72.6,150,44.9,348778,2003,77.3,62.7,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.3,0,,0.0,100.0,0,0.0,0,,,,1,0.3,0,,0.0,100.0,0,0.0,0,,,,0,0.0,0,,,,182,54.5,0,,44.5,80.0
81-009-N,ST81,707,585,,585,66.7,46.1,314,53.7,708915,2007,73.9,45.2,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.2,0,,0.0,0.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,270,46.2,0,,58.5,47.7
81-010-N,ST81,795,773,,773,59.9,57.4,353,45.7,835327,2010,63.2,40.3,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,1,0.1,151941,,100.0,100.0,1,0.1,0,,100.0,100.0,418,54.1,0,,56.9,68.0
81-011-N,ST81,529,553,,553,79.7,88.9,235,42.5,547855,2008,81.3,85.7,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,318,57.5,0,,78.6,91.1
81-012-H,ST81,616,416,,417,98.8,14.3,272,65.2,614713,2004,98.9,14.7,0,0.0,0,,,,2,0.5,6000,2003,100.0,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,143,34.3,0,,98.6,13.6
81-013-N,ST81,759,546,,547,89.9,46.4,337,61.6,808146,2004,90.5,43.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,210,38.4,0,,89.0,51.4
81-014-N,ST81,374,352,,352,52.0,94.7,166,47.2,384839,2005,59.6,94.1,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,186,52.8,0,,45.2,94.9
81-015-N,ST81,448,307,,307,70.0,25.0,199,64.8,452180,2004,71.4,25.0,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,0,0.0,0,,,,108,35.2,0,,67.6,
